DATE,CES3000000008
1987-01-01,9.67
1987-02-01,9.69
1987-03-01,9.71
1987-04-01,9.71
1987-05-01,9.73
1987-06-01,9.74
1987-07-01,9.74
1987-08-01,9.80
1987-09-01,9.85
1987-10-01,9.84
1987-11-01,9.87
1987-12-01,9.89
1988-01-01,9.91
1988-02-01,9.92
1988-03-01,9.94
1988-04-01,9.99
1988-05-01,10.02
1988-06-01,10.04
1988-07-01,10.05
1988-08-01,10.07
1988-09-01,10.12
1988-10-01,10.16
1988-11-01,10.19
1988-12-01,10.20
1989-01-01,10.23
1989-02-01,10.26
1989-03-01,10.29
1989-04-01,10.28
1989-05-01,10.30
1989-06-01,10.33
1989-07-01,10.36
1989-08-01,10.39
1989-09-01,10.41
1989-10-01,10.43
1989-11-01,10.44
1989-12-01,10.49
1990-01-01,10.51
1990-02-01,10.64
1990-03-01,10.70
1990-04-01,10.68
1990-05-01,10.74
1990-06-01,10.78
1990-07-01,10.81
1990-08-01,10.80
1990-09-01,10.86
1990-10-01,10.92
1990-11-01,10.89
1990-12-01,10.93
1991-01-01,10.97
1991-02-01,10.97
1991-03-01,11.00
1991-04-01,11.05
1991-05-01,11.09
1991-06-01,11.13
1991-07-01,11.17
1991-08-01,11.18
1991-09-01,11.21
1991-10-01,11.25
1991-11-01,11.26
1991-12-01,11.27
1992-01-01,11.24
1992-02-01,11.30
1992-03-01,11.32
1992-04-01,11.36
1992-05-01,11.39
1992-06-01,11.41
1992-07-01,11.43
1992-08-01,11.46
1992-09-01,11.45
1992-10-01,11.47
1992-11-01,11.49
1992-12-01,11.51
1993-01-01,11.55
1993-02-01,11.57
1993-03-01,11.58
1993-04-01,11.63
1993-05-01,11.65
1993-06-01,11.68
1993-07-01,11.69
1993-08-01,11.72
1993-09-01,11.76
1993-10-01,11.79
1993-11-01,11.83
1993-12-01,11.88
1994-01-01,11.89
1994-02-01,11.97
1994-03-01,11.95
1994-04-01,11.96
1994-05-01,11.98
1994-06-01,12.01
1994-07-01,12.03
1994-08-01,12.06
1994-09-01,12.09
1994-10-01,12.12
1994-11-01,12.15
1994-12-01,12.17
1995-01-01,12.20
1995-02-01,12.24
1995-03-01,12.24
1995-04-01,12.25
1995-05-01,12.28
1995-06-01,12.31
1995-07-01,12.39
1995-08-01,12.40
1995-09-01,12.41
1995-10-01,12.44
1995-11-01,12.45
1995-12-01,12.49
1996-01-01,12.60
1996-02-01,12.56
1996-03-01,12.50
1996-04-01,12.68
1996-05-01,12.71
