DATE,CPIAPPSL
1989-01-01,118.400
1989-02-01,117.100
1989-03-01,118.100
1989-04-01,118.600
1989-05-01,118.900
1989-06-01,118.700
1989-07-01,118.300
1989-08-01,117.100
1989-09-01,118.700
1989-10-01,119.600
1989-11-01,120.000
1989-12-01,119.800
1990-01-01,119.900
1990-02-01,122.000
1990-03-01,123.800
1990-04-01,124.100
1990-05-01,124.000
1990-06-01,124.200
1990-07-01,124.200
1990-08-01,124.500
1990-09-01,125.400
1990-10-01,125.400
1990-11-01,125.400
1990-12-01,126.200
1991-01-01,126.900
1991-02-01,127.300
1991-03-01,127.000
1991-04-01,127.500
1991-05-01,128.000
1991-06-01,127.900
1991-07-01,128.700
1991-08-01,129.900
1991-09-01,130.000
1991-10-01,130.100
1991-11-01,131.000
1991-12-01,130.700
1992-01-01,130.900
1992-02-01,131.000
1992-03-01,131.300
1992-04-01,130.700
1992-05-01,131.600
1992-06-01,132.100
1992-07-01,132.700
1992-08-01,132.300
1992-09-01,132.200
1992-10-01,132.500
1992-11-01,132.700
1992-12-01,132.800
1993-01-01,132.800
1993-02-01,134.000
1993-03-01,134.000
1993-04-01,134.000
1993-05-01,133.500
1993-06-01,133.000
1993-07-01,132.800
1993-08-01,134.000
1993-09-01,133.700
1993-10-01,133.800
1993-11-01,134.400
1993-12-01,134.100
1994-01-01,133.300
1994-02-01,133.200
1994-03-01,133.800
1994-04-01,133.500
1994-05-01,134.000
1994-06-01,134.800
1994-07-01,134.200
1994-08-01,133.200
1994-09-01,133.600
1994-10-01,133.000
1994-11-01,132.500
1994-12-01,132.100
1995-01-01,132.200
1995-02-01,131.900
1995-03-01,132.200
1995-04-01,131.900
1995-05-01,131.600
1995-06-01,131.300
1995-07-01,131.400
1995-08-01,132.500
1995-09-01,132.300
1995-10-01,132.400
1995-11-01,132.000
1995-12-01,132.200
1996-01-01,132.700
1996-02-01,132.200
1996-03-01,132.600
1996-04-01,131.800
1996-05-01,131.800
1996-06-01,131.600
1996-07-01,131.300
1996-08-01,130.600
1996-09-01,131.300
1996-10-01,131.300
1996-11-01,131.600
1996-12-01,131.900
1997-01-01,132.300
1997-02-01,133.000
1997-03-01,132.400
