DATE,CUSR0000SAF116
1989-01-01,120.700
1989-02-01,121.200
1989-03-01,121.700
1989-04-01,122.100
1989-05-01,122.900
1989-06-01,123.300
1989-07-01,123.700
1989-08-01,124.300
1989-09-01,124.700
1989-10-01,125.200
1989-11-01,125.800
1989-12-01,126.200
1990-01-01,126.700
1990-02-01,127.000
1990-03-01,127.600
1990-04-01,127.900
1990-05-01,128.600
1990-06-01,129.100
1990-07-01,129.600
1990-08-01,130.000
1990-09-01,130.700
1990-10-01,131.000
1990-11-01,131.200
1990-12-01,131.500
1991-01-01,137.800
1991-02-01,141.700
1991-03-01,141.900
1991-04-01,142.200
1991-05-01,142.400
1991-06-01,142.800
1991-07-01,143.200
1991-08-01,143.700
1991-09-01,144.300
1991-10-01,144.500
1991-11-01,144.400
1991-12-01,144.600
1992-01-01,145.200
1992-02-01,145.700
1992-03-01,146.400
1992-04-01,146.700
1992-05-01,147.100
1992-06-01,147.300
1992-07-01,147.500
1992-08-01,147.600
1992-09-01,148.000
1992-10-01,148.200
1992-11-01,148.600
1992-12-01,148.700
1993-01-01,149.000
1993-02-01,149.100
1993-03-01,149.000
1993-04-01,149.200
1993-05-01,149.200
1993-06-01,149.400
1993-07-01,149.500
1993-08-01,149.800
1993-09-01,150.000
1993-10-01,150.200
1993-11-01,150.400
1993-12-01,150.900
1994-01-01,151.300
1994-02-01,151.000
1994-03-01,151.000
1994-04-01,151.100
1994-05-01,151.200
1994-06-01,151.500
1994-07-01,151.600
1994-08-01,151.500
1994-09-01,151.600
1994-10-01,151.700
1994-11-01,152.300
1994-12-01,152.200
1995-01-01,152.200
1995-02-01,152.200
1995-03-01,152.800
1995-04-01,153.200
1995-05-01,153.600
1995-06-01,153.800
1995-07-01,153.900
1995-08-01,154.800
1995-09-01,154.700
1995-10-01,155.000
1995-11-01,155.400
1995-12-01,155.200
1996-01-01,155.800
1996-02-01,156.500
1996-03-01,157.100
1996-04-01,157.600
1996-05-01,158.000
1996-06-01,158.400
1996-07-01,158.700
1996-08-01,159.100
1996-09-01,159.600
1996-10-01,160.200
1996-11-01,160.400
1996-12-01,160.800
1997-01-01,161.200
1997-02-01,161.600
1997-03-01,161.800
1997-04-01,162.100
1997-05-01,162.500
1997-06-01,162.600
1997-07-01,163.100
1997-08-01,163.400
1997-09-01,163.600
1997-10-01,163.800
