Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
ZQJ23,03/06/2023,95.115,95.125,94.99,95.035,-0.08,-0.08%,649754,1378527
ZQG23,02/27/2023,95.43,95.43,95.1,95.115,-0.315,-0.33%,457349,1679955
ZQG23,02/20/2023,95.4275,95.43,95.4275,95.43,0.0025,0.00%,581493,1880126
ZQG23,02/13/2023,95.4325,95.4325,95.4275,95.4275,-0.0025,0.00%,523063,1715788
ZQG23,02/06/2023,95.4275,95.4325,95.425,95.43,0.0025,0.00%,562581,1627755
ZQG23,01/30/2023,95.42,95.43,95.415,95.4275,0.0025,0.00%,580307,1623916
ZQG23,01/23/2023,95.425,95.425,95.415,95.425,0.005,0.01%,299270,1819933
ZQG23,01/16/2023,95.41,95.425,95.4,95.42,0.015,0.02%,400046,1698215
ZQG23,01/09/2023,95.36,95.415,95.295,95.405,0.045,0.05%,466972,1564645
ZQF23,01/02/2023,95.6675,95.67,95.305,95.36,-0.31,-0.32%,394460,1359625
ZQF23,12/26/2022,95.665,95.67,95.665,95.67,0.005,0.01%,134266,1490141
ZQF23,12/19/2022,95.665,95.67,95.66,95.665,-0.005,-0.01%,152747,1533380
ZQF23,12/12/2022,95.65,95.67,95.64,95.67,0.02,0.02%,375931,1425406
ZQF23,12/05/2022,95.65,95.655,95.64,95.65,0,0.00%,174484,1336690
ZQF23,11/28/2022,95.625,95.65,95.62,95.65,0.02,0.02%,348776,1439265
ZQF23,11/21/2022,95.63,95.64,95.605,95.63,0.005,0.01%,315508,1592124
ZQF23,11/14/2022,95.645,95.66,95.62,95.625,-0.02,-0.02%,278042,1499697
ZQX22,11/07/2022,96.215,96.22,95.645,95.645,-0.57,-0.59%,254773,1487706
ZQX22,10/31/2022,96.2225,96.225,96.2125,96.215,-0.01,-0.01%,449747,1408000
ZQX22,10/24/2022,96.21,96.23,96.2,96.225,0.02,0.02%,314073,1703837
ZQV22,10/17/2022,96.9175,96.92,96.195,96.205,-0.7125,-0.74%,283891,1663570
ZQV22,10/10/2022,96.92,96.92,96.915,96.9175,-0.0025,0.00%,315392,1635379
ZQV22,10/03/2022,96.9175,96.92,96.915,96.92,0.005,0.01%,342381,1533882
ZQV22,09/26/2022,96.91,96.92,96.885,96.915,0.01,0.01%,384729,1700692
ZQV22,09/19/2022,96.875,96.915,96.86,96.905,0.025,0.03%,502822,1750108
ZQV22,09/12/2022,96.945,96.955,96.795,96.88,-0.06,-0.06%,484862,1592830
ZQV22,09/05/2022,97.03,97.035,96.94,96.94,-0.085,-0.09%,270475,1416085
ZQQ22,08/29/2022,97.67,97.67,96.975,97.025,-0.6425,-0.66%,236198,1563223
ZQQ22,08/22/2022,97.6675,97.67,97.665,97.6675,0,0.00%,278816,1789954
ZQQ22,08/15/2022,97.6675,97.67,97.665,97.6675,0,0.00%,215843,1682425
ZQQ22,08/08/2022,97.6575,97.67,97.6475,97.6675,0.0125,0.01%,308959,1615427
ZQQ22,08/01/2022,97.6675,97.67,97.64,97.655,-0.015,-0.02%,287898,1539062
ZQQ22,07/25/2022,97.65,97.67,97.63,97.67,0.02,0.02%,310342,1810851
ZQQ22,07/18/2022,97.63,97.675,97.595,97.65,0.025,0.03%,282597,1792199
ZQN22,07/11/2022,98.32,98.3225,97.465,97.625,-0.695,-0.71%,499931,1670847
ZQN22,07/04/2022,98.3275,98.33,98.32,98.32,-0.005,-0.01%,274493,1596643
ZQN22,06/27/2022,98.3175,98.3325,98.315,98.325,0.005,0.01%,258718,1690271
ZQN22,06/20/2022,98.31,98.325,98.31,98.32,0.005,0.01%,368005,1715845
ZQN22,06/13/2022,98.54,98.54,98.205,98.315,-0.225,-0.23%,703954,1659052
ZQN22,06/06/2022,98.595,98.6,98.51,98.54,-0.055,-0.06%,288868,1605332
